node1,node2,free_bw,used_bw,delay,pkloss
1,3,120190.688,79805917.873812,84.495783,0.001217
1,7,147660.28,52336507.335266,1.246452,0.001846
1,16,138179.859972,61816938.014004,1.073241,0.002672
2,4,102578.633863,97418981.898192,0.648618,0.003086
2,7,104868.672,95130124.446046,0.0,0.004905
2,12,135063.882388,64936117.611763,1.286626,0.003546
2,13,144030.64,55969178.449846,0.692248,0.003618
2,18,36443.028303,13555183.518352,1.554608,0.028981
2,23,36659.85197,13339480.955497,0.8322,0.004725
3,10,145833.487349,54165592.325633,2.135158,0.00869
3,11,25844.804805,24155037.597598,1.517534,0.015437
3,14,845.736,2253780.664867,8.740783,0.0
3,21,186816.288,13183179.132313,1.306534,0.010005
4,16,110403.088618,89591238.969469,1.541018,0.002855
5,8,31785.418542,18213522.337519,0.989914,0.028604
5,16,0,49999906.980897,160.197258,0.020259
6,7,1856.500501,1243473.74975,0.0,0.04415
6,19,319.667668,2780193.190488,931.425095,0.0
7,17,116650.418084,83343630.958193,1.274586,0.0035
7,19,32261.656,17736788.85517,0.0,0.021322
7,21,179250.973097,20748585.451345,0.0,0.0
8,9,20708.246825,29291225.937009,1.063824,0.021948
9,15,16913.753754,33085661.376949,1.201272,0.021727
9,16,135187.93994,64811167.057438,1.261711,0.018748
10,11,8870.438438,41128337.136417,101.422787,0.02145
10,12,91047.264726,108950351.035106,1.495481,0.003278
10,16,130958.223822,69040460.003194,0.860333,0.004189
10,17,98092.034407,101907042.102493,1.580715,0.003094
12,22,190714.391439,9285144.280428,0.913978,0.0
13,14,0.29803,3099701.970197,3260.10108,0.019186
13,17,148653.674735,51344170.632528,1.452565,0.003956
13,19,29185.104,20813533.476929,1.76239,0.021294
15,20,16098.507702,33900393.113927,31.088352,0.003238
17,20,158072.358472,41926449.28986,2.070427,0.002313
17,23,37177.283457,12822716.543309,2.466679,0.005703
18,21,35122.160216,14874263.426343,1.531601,0.016962
20,22,40900.644129,9099041.935587,0.804901,0.09849
