node1,node2,free_bw,used_bw,delay,pkloss
1,3,135490.380152,64509023.609449,1.722932,0.001383
1,7,94178.207283,105821196.4786,0.436902,0.001849
1,16,134290.748299,65707462.985193,1.657963,0.003945
2,4,148773.381353,51226022.408968,1.237273,0.001482
2,7,142199.435718,57798269.335954,0.412464,0.002371
2,12,124487.788673,75509626.42378,0.991821,0.005949
2,13,133386.149075,66612307.615593,1.05238,0.007597
2,18,19492.002001,30505857.070464,12.022138,0.008432
2,23,14780.0,35219972.986493,23.461223,0.0017
3,10,117337.302921,82659080.405349,1.516104,0.008916
3,11,22866.437425,27131138.594679,77.311873,0.080847
3,14,75.638255,3023320.442134,2929.496765,0.0
3,21,126040.948474,73955948.331916,0.0,0.008424
4,16,141161.80072,58837603.041216,1.788855,0.002471
5,8,32943.974385,17055585.021578,4.701734,0.010238
5,16,0.143928,49998515.470955,138.498902,0.001192
6,7,1709.30028,1390063.74561,364.481568,0.056754
6,19,2411.107557,688858.015614,0.193834,0.026455
7,17,114655.422169,85344577.831139,1.467228,0.001595
7,19,40797.462985,9201972.15558,1.289129,0.050251
7,21,146858.263305,53140817.321831,0.0,0.001238
8,9,12721.480889,37278355.91719,70.092559,0.004873
9,15,40095.865654,9903823.05107,1.463056,0.011754
9,16,101352.395042,98643554.37976,1.102448,0.002846
10,11,24903.942423,25096026.787484,0.771761,0.003544
10,12,93741.965179,106254508.155812,1.745224,0.003432
10,16,91570.145073,108429201.173206,1.017451,0.001064
10,17,119494.493798,80500589.0192,1.255274,0.000897
12,22,186921.681009,13078277.936477,1.971364,0.005292
13,14,0.250125,3099749.874937,2640.589833,0.0
13,17,168116.938469,31880274.262785,1.634717,0.012655
13,19,40775.075538,9221505.709376,1.075387,0.017729
15,20,40083.369685,9914941.80824,1.606584,0.01973
17,20,175616.038415,24383365.34614,1.918316,0.0
17,23,13849.867947,36149535.814325,13.424039,0.001535
18,21,22857.508754,27140245.123061,0.0,0.006394
20,22,35894.772614,14104422.416644,1.380682,0.015178
